586;Rasvaseos 80%, voimakassuolainen;FI
593;Leivontamargariini 80%, pirkka/rainbow;FI
597;Rasvaseoslevite 75 %, tuotekeskiarvo;FI
598;Voi%oe%ljy 100%, maitorasvaa;FI
599;(arc) kasvirasvalevite 32%, benecol kevyt;FI
600;Maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lis%ae%tty d-vitamiinia;FI
602;Ternimaito;FI
604;Maito, kutunmaito, vuohenmaito;FI
606;Maito, rasvaton, d-vitamiinia 1 ug;FI
611;Piim%ae%, talouspiim%ae%, rasvaa 0,8 %, d-vit 0,5 ug;FI
612;Piim%ae%, rasvaton, d-vit 1 ug;FI
613;Piim%ae%, kirnupiim%ae%, rasvaa 0,3 %, d-vit 1 ug;FI
615;Kermaviili, rasvaa 10-12 %;FI
616;Piim%ae%, asidofiluspiim%ae%, rasvaa 2,5 %, d-vit 1 ug, probiootteja;FI
617;Viili, maustamaton, rasvaa 3,5 %;FI
618;Viili, maustamaton, kevytviili, rasvaa 2 %;FI
619;Jogurtti, maustamaton, rasvaa 2,5 %, vl;FI
622;Rahka, maitorahka, maustamaton, rasvaa <0,5 %;FI
627;Maito, ykk%oe%smaito, d-vitamiinia 1ug;FI
628;Creme fraiche, ranskankerma, rasvaa 28 %;FI
629;Kerma, vispikerma, rasvaa 38 % ,vl, iskukuumennettu;FI
630;Smetana, rasvaa n. 40 %;FI
631;Kerma, kuohukerma, rasvaa 38 %;FI
632;Ruoanvalmistuskerma, rasvaa 19 %, kahvikerma;FI
633;Kerma, kahvikerma, kevyt, rasvaa 10 %, vl;FI
635;Raejuusto, rasvaton, vl;FI
636;Viili, kerrosviili, maustettu hillolla, ykk%oe%sviili, rasvaa 1 %, vl;FI
637;Jogurtti, maustamaton, rasvaton, vl, d-vit 0,5 ug;FI
639;Jogurtti, maustettu, rasvaton;FI
640;Juusto, valkohomejuusto, rasvaa 26-30 %, camembert/brie;FI
641;Juusto, kermajuusto, rasvaa 30 %, turunmaa/oltermanni/korsholm/masurkka;FI
642;Juusto, emmentaljuusto, rasvaa 27-30 %, punaleima;FI
643;Juusto, kova pienikoloinen juusto, rasvaa 24-27 %, edam;FI
644;Juusto, puolikova juusto, rasvaa 9-11 %, kevyt, edam/kadett;FI
645;Juusto, kutunjuusto, vuohenjuusto, rasvaa 30 %, kova juusto;FI
647;Sulatejuusto, rasvaa 20-24 %, keskirasvainen;FI
648;Sulatejuusto, rasvaa 27-35 %, runsasrasvainen;FI
649;Raejuusto, rasvaa 2-5 %;FI
650;Tuorejuusto, kotijuusto, rasvaa 9-14 %, maalaisjuusto;FI
653;Juusto, sinihomejuusto, rasvaa 27-30 %, aura/danazole, keskiarvo;FI
654;Juusto, gouda/salaneuvos, keskiarvo, rasvaa 28-30 %;FI
655;Juusto, puolikova juusto, rasvaa 25-35 %, lappi/småland/billinge/rustholli;FI
657;Juusto, leip%ae%juusto, rasvaa 17-23 %;FI
658;Tuorejuusto, runsasrasvainen, mustapippurijuusto;FI
